"V1" "V2"
"1" 3.3157575379575 520338312395.582
"2" 1.80589329107439 4638676596.8697
"3" 1.16506045401669 860076.552684756
"4" 6.54228181302358 2.70174648200973e+20
"5" 1.78801673229423 0.188455758010982
"6" 3.30278334027707 342.690036808662
"7" 2.87020133899736 0.895665716242124
"8" 1.49129299632127 4.03372275668772
"9" 3.24920560571819 904327655.981918
"10" 2.4591488921847 2.43335662484173e+20
"11" 3.1394727041639 190721532902.761
"12" 5.64901011015257 13541097619953
"13" 5.07774524902465 138575392492.198
"14" 7.87955644247535 349616.95295901
"15" 3.82368547884716 86.6823978090972
"16" 6.48148568778536 2.26763348300318e+28
"17" 2.64456300871323 326496.991671601
"18" 3.96612996572388 9307222792.36657
"19" 6.12332886201389 1.32726424369933e+23
"20" 3.17651375267912 14720444626208268288
"21" 1.48861004533936 26390236859161.9
"22" 3.34651958516257 4.91202162082889e+26
"23" 2.04571109598919 28275235.7862763
"24" 4.56560159061087 3.81186442202351e+22
"25" 2.37060982162464 4672228500.32717
"26" 3.71739811405693 31377472333.7791
"27" 3.59595201279094 282.883274115526
"28" 3.26259925267121 49298626059.7678
"29" 3.04273842413069 285618.699580666
"30" 6.99858337955395 14462654942382332
"31" 2.20392951439261 3.08818612445322
"32" 3.83408568177047 7.05893557355523e+26
"33" 2.11844599270516 10770369290.8725
"34" 10.2998310778628 346475490788403
"35" 2.64848030264126 29562.1197346797
"36" 4.24719956086401 6519919216458507
"37" 2.14323917159944 7780177258638182
"38" 5.37206254077178 365106782252.894
"39" 5.83784296513299 1105919453.81302
"40" 6.82419069535095 916325719.370734
"41" 8.48985234023365 2.11688252554687
"42" 1.85372110608994 1.27650283047937
"43" 5.19335686585151 0.861056141203774
"44" 2.07052082204397 2.77762480349977e+22
"45" 9.38218114509522 1.7800553875829e+23
"46" 2.14751921477515 580918975585424
"47" 2.29984235480004 1.57530528737691
"48" 3.40337296827128 638615044.754806
"49" 2.76899516151565 298971091940893568
"50" 1.85622598326788 0.480390300631365
"51" 2.00266301138432 9.76383811024611
"52" 4.44806176155664 234842132220639648
"53" 2.12840580660499 1408104.89257769
"54" 1.5054816940164 4.75433746326906e+21
"55" 1.21227121738927 5010005335.89646
"56" 3.73155385850686 123277096104.257
"57" 2.94653521560853 18625565165347068
"58" 1.27553483404032 15881342325064018
"59" 2.53656677039727 5.8464087107624
"60" 3.91336081674597 8.39056239238142e+21
"61" 3.16307703833876 1.57856657413728e+21
"62" 7.12414332476551 207214789574434272
"63" 2.88137007037306 41448340355.401
"64" 5.31413983460612 16.2895296717795
